Borrower_ID,Age,Employment_Status,Income,Credit_Score,Nationality,Loan_ID,Interest_Rate,Loan_Term,Purpose,Disbursement_Date,Due_Date,Days_Past_Due,Payment_Amount,Outstanding_Balance,Collection_Status,Recovery_Status,Recovery_Amount,Recovery_Date,Paid_Date,Invoice_Amount,Customer_Segment,Days_To_Collect,Recovered,Contact_Attempts,Payment_History_Pattern,Region,Channel_of_Contact
11,28,Employed,113452,779,German,10011,5.64,24,Business,5/12/2020,5/2/2022,-1,21174.3584,-2146.3584,Current,Not Started,0,,5/1/2022,19028,Employed,719,0,2,Mixed,North,Phone
12,28,Employed,28395,364,German,10012,14.43,48,Business,6/18/2021,5/28/2025,37,58217.6064,-21305.6064,Delinquent,Not Started,0,,7/4/2025,36912,Employed,1477,0,5,Always Late,West,In-App
13,41,Self-Employed,100957,307,German,10013,5.91,12,Business,12/1/2022,11/26/2023,54,15875.909,-885.909,Delinquent,Not Started,0,,1/19/2024,14990,Self-Employed,414,0,1,Always Late,South,Email
14,53,Employed,71273,600,Other,10014,6.5,48,Other,5/17/2021,4/26/2025,2,60292.26,-12441.26,Current,Not Started,0,,4/28/2025,47851,Employed,1442,0,3,Always Late,West,SMS
15,57,Employed,106878,642,German,10015,14.65,24,Education,4/20/2022,4/9/2024,122,22790.418,-5164.418,Default,Recovered,-4322.621406,11/3/2024,8/9/2024,17626,Employed,842,1,4,Always On Time,West,SMS
16,41,Employed,19895,730,German,10016,11.95,36,Education,8/13/2022,7/28/2025,2,29165.6365,-7696.6365,Current,Not Started,0,,7/30/2025,21469,Employed,1082,0,5,Always Late,West,SMS
17,20,Employed,91559,723,German,10017,11.55,24,Debt Consolidation,12/29/2022,12/18/2024,-3,51359.78200000001,-9637.782,Current,Not Started,0,,12/15/2024,41722,Employed,717,0,4,Always Late,North,Email
18,39,Self-Employed,25699,631,German,10018,13.31,24,Home Improvement,8/4/2022,7/24/2024,174,51961.0494,-10924.0494,Default,Not Started,0,,1/14/2025,41037,Self-Employed,894,0,5,Always Late,North,SMS
19,19,Employed,80061,737,German,10019,4.83,24,Debt Consolidation,5/8/2022,4/27/2024,76,8915.358,-785.358,Delinquent,Not Started,0,,7/12/2024,8130,Employed,796,0,1,Mixed,East,In-App
20,41,Employed,24715,473,German,10020,11.62,60,Debt Consolidation,2/27/2020,1/31/2025,-1,12376.068,-4548.068,Current,Not Started,0,,1/30/2025,7828,Employed,1799,0,1,Always Late,East,Email
21,61,Employed,34169,826,German,10021,9.29,48,Debt Consolidation,9/1/2022,8/11/2026,74,58446.6192,-15834.6192,Delinquent,Not Started,0,,10/24/2026,42612,Employed,1514,0,7,Always Late,West,Phone
22,47,Employed,31163,325,German,10022,13.04,48,Debt Consolidation,4/10/2022,3/20/2026,115,73018.54079999999,-25030.5408,Default,Not Started,0,,7/13/2026,47988,Employed,1555,0,5,Always Late,East,In-App
23,55,Employed,20782,705,German,10023,9.34,48,Education,4/17/2020,3/27/2024,71,55079.9864,-14980.9864,Delinquent,Not Started,0,,6/6/2024,40099,Employed,1511,0,1,Always Late,West,Phone
24,19,Employed,103177,531,German,10024,10.63,60,Home Improvement,4/15/2020,3/20/2025,90,72233.19750000001,-25068.1975,Delinquent,Not Started,0,,6/18/2025,47165,Employed,1890,0,7,Always Late,North,SMS
25,38,Employed,99328,832,German,10025,8.99,36,Debt Consolidation,10/7/2021,9/21/2024,73,23975.7451,-5092.7451,Delinquent,Not Started,0,,12/3/2024,18883,Employed,1153,0,2,Always Late,North,In-App
26,50,Unemployed,50585,849,German,10026,9,24,Education,4/29/2022,4/18/2024,-5,51989.62,-7930.62,Current,Not Started,0,,4/13/2024,44059,Unemployed,715,0,4,Always Late,North,Email
27,29,Employed,45682,804,German,10027,12.33,36,Debt Consolidation,6/29/2020,6/14/2023,75,26770.5858,-7228.5858,Delinquent,Not Started,0,,8/28/2023,19542,Employed,1155,0,1,Mixed,South,In-App
28,39,Employed,62864,478,German,10028,10.73,60,Business,9/19/2020,8/24/2025,2,67501.518,-23569.518,Current,Not Started,0,,8/26/2025,43932,Employed,1802,0,6,Always Late,West,Phone
29,61,Employed,99416,431,German,10029,10.78,48,Debt Consolidation,6/26/2020,6/5/2024,138,16387.24,-4937.24,Default,Not Started,0,,10/21/2024,11450,Employed,1578,0,5,Always Late,North,Email
30,42,Employed,70114,754,German,10030,8.68,24,Debt Consolidation,11/14/2020,11/4/2022,-5,25142.0328,-3719.0328,Current,Not Started,0,,10/30/2022,21423,Employed,715,0,2,Always Late,West,In-App
31,66,Employed,53067,647,German,10031,9.61,12,Other,11/26/2021,11/21/2022,-4,3326.6635,-291.6635,Current,Not Started,0,,11/17/2022,3035,Employed,356,0,7,Always Late,East,In-App
32,44,Employed,57685,839,German,10032,12.08,12,Business,4/5/2022,3/31/2023,1,50694.9048,-5463.9048,Current,Not Started,0,,4/1/2023,45231,Employed,361,0,3,Mixed,East,In-App
33,59,Employed,33073,705,German,10033,13,36,Home Improvement,12/17/2021,12/1/2024,2,58025.55,-16280.55,Current,Not Started,0,,12/3/2024,41745,Employed,1082,0,2,Always Late,North,In-App
34,45,Employed,51035,375,German,10034,11.51,48,Debt Consolidation,3/18/2020,2/26/2024,-5,26639.1564,-8398.1564,Current,Not Started,0,,2/21/2024,18241,Employed,1435,0,2,Mixed,West,Email
35,33,Employed,79977,791,German,10035,14.13,12,Home Improvement,12/30/2021,12/25/2022,145,27566.9602,-3412.9602,Default,Not Started,0,,5/19/2023,24154,Employed,505,0,2,Always Late,North,Phone
36,32,Self-Employed,117710,493,German,10036,12.93,36,Business,9/25/2020,9/10/2023,103,36952.8375,-10327.8375,Default,Recovered,-7960.213193,3/14/2024,12/22/2023,26625,Self-Employed,1183,1,1,Always On Time,East,In-App
37,64,Employed,105373,461,German,10037,9.96,60,Debt Consolidation,7/20/2021,6/24/2026,3,68833.1,-22883.1,Current,Not Started,0,,6/27/2026,45950,Employed,1803,0,4,Always Late,North,Email
38,68,Employed,98362,646,German,10038,11.22,36,Other,12/25/2020,12/10/2023,146,45532.6156,-11466.6156,Default,Not Started,0,,5/4/2024,34066,Employed,1226,0,7,Always Late,West,Phone
39,61,Employed,105517,660,German,10039,14.15,36,Education,12/14/2020,11/29/2023,85,49417.3295,-14726.3295,Delinquent,Not Started,0,,2/22/2024,34691,Employed,1165,0,4,Mixed,East,In-App
40,69,Unemployed,80450,386,German,10040,10.62,36,Other,5/6/2021,4/20/2024,3,18896.8566,-4565.8566,Current,Not Started,0,,4/23/2024,14331,Unemployed,1083,0,2,Always Late,South,Phone
41,20,Employed,25382,561,German,10041,12.99,24,Other,2/13/2020,2/2/2022,4,27325.062,-5635.062,Current,Not Started,0,,2/6/2022,21690,Employed,724,0,1,Mixed,East,Phone
42,54,Employed,19437,513,German,10042,11.42,36,Education,1/26/2021,1/11/2024,125,27097.6958,-6914.6958,Default,Not Started,0,,5/15/2024,20183,Employed,1205,0,2,Always Late,South,Email
43,68,Unemployed,85971,561,German,10043,9.85,36,Education,2/27/2021,2/12/2024,2,52268.243,-11922.243,Current,Not Started,0,,2/14/2024,40346,Unemployed,1082,0,3,Always Late,North,Phone
44,24,Self-Employed,79612,582,German,10044,6.28,24,Education,12/12/2021,12/2/2023,106,6612.9,-737.9,Default,Not Started,0,,3/17/2024,5875,Self-Employed,826,0,6,Always Late,North,Email
45,38,Self-Employed,105355,766,German,10045,8.4,24,Debt Consolidation,6/21/2021,6/11/2023,37,15480.672,-2226.672,Delinquent,Not Started,0,,7/18/2023,13254,Self-Employed,757,0,2,Always Late,West,In-App
46,26,Employed,76929,679,German,10046,14.63,60,Home Improvement,6/18/2022,5/23/2027,58,51288.7615,-21667.7615,Delinquent,Not Started,0,,7/20/2027,29621,Employed,1858,0,6,Always Late,South,Phone
47,56,Employed,117411,661,German,10047,11.06,48,Home Improvement,4/30/2020,4/9/2024,1,17171.772,-5266.772,Current,Not Started,0,,4/10/2024,11905,Employed,1441,0,7,Mixed,North,Phone
48,35,Employed,112518,748,German,10048,9.99,12,Education,8/17/2022,8/12/2023,2,51828.3879,-4707.3879,Current,Not Started,0,,8/14/2023,47121,Employed,362,0,4,Mixed,South,SMS
49,21,Unemployed,113864,740,German,10049,14.23,12,Other,10/9/2020,10/4/2021,-5,19284.3086,-2402.3086,Current,Not Started,0,,9/29/2021,16882,Unemployed,355,0,7,Always Late,North,In-App
50,42,Employed,27329,392,German,10050,10.24,36,Business,3/13/2021,2/26/2024,0,26197.5952,-6156.5952,Current,Not Started,0,,2/26/2024,20041,Employed,1080,0,4,Always Late,East,In-App
51,31,Employed,40169,723,German,10051,9.55,60,Education,3/24/2022,2/26/2027,1,44469.795,-14371.795,Current,Not Started,0,,2/27/2027,30098,Employed,1801,0,5,Always Late,North,SMS
52,67,Employed,102468,441,German,10052,12.23,36,Other,2/10/2022,1/25/2025,-1,59365.8339,-15934.8339,Current,Not Started,0,,1/24/2025,43431,Employed,1079,0,4,Mixed,West,SMS
53,26,Self-Employed,49594,590,German,10053,11.7,12,Other,4/15/2022,4/10/2023,-1,38769.953,-4060.953,Current,Not Started,0,,4/9/2023,34709,Self-Employed,359,0,4,Always Late,East,Email
54,43,Employed,91957,731,German,10054,5.72,24,Debt Consolidation,1/22/2021,1/12/2023,117,39756.22,-4081.22,Default,Recovered,-3761.717194,9/27/2023,5/9/2023,35675,Employed,837,1,2,Mixed,West,Email
55,19,Employed,75631,348,Other,10055,8.92,48,Debt Consolidation,2/5/2021,1/15/2025,-3,7919.6416,-2082.6416,Current,Not Started,0,,1/12/2025,5837,Employed,1437,0,3,Always Late,East,Phone
56,37,Employed,60033,601,German,10056,8.93,60,Home Improvement,2/12/2021,1/17/2026,0,68633.53199999999,-21185.532,Current,Not Started,0,,1/17/2026,47448,Employed,1800,0,2,Always Late,South,Phone
57,45,Employed,78133,489,German,10057,7.85,24,Home Improvement,11/11/2022,10/31/2024,1,29490.773,-4001.773,Current,Not Started,0,,11/1/2024,25489,Employed,721,0,4,Mixed,West,Phone
58,64,Employed,88165,435,German,10058,9.45,48,Business,12/27/2020,12/6/2024,-5,25668.006,-7041.006,Current,Not Started,0,,12/1/2024,18627,Employed,1435,0,1,Mixed,North,Phone
59,24,Employed,88861,703,German,10059,8.25,60,Business,9/21/2021,8/26/2026,-4,9458.1,-2762.1,Current,Not Started,0,,8/22/2026,6696,Employed,1796,0,8,Always Late,South,Email
60,61,Employed,67290,640,German,10060,5.79,60,Business,10/4/2022,9/8/2027,45,64467.26299999999,-14473.263,Delinquent,Not Started,0,,10/23/2027,49994,Employed,1845,0,6,Always Late,North,In-App
61,25,Employed,109031,617,German,10061,8.24,12,Business,11/13/2021,11/8/2022,-2,15741.3432,-1198.3432,Current,Not Started,0,,11/6/2022,14543,Employed,358,0,3,Mixed,East,Phone
62,64,Employed,46750,662,German,10062,4.33,24,Other,2/25/2020,2/14/2022,74,14794.059,-1179.059,Delinquent,Not Started,0,,4/29/2022,13615,Employed,794,0,2,Always Late,East,In-App
63,52,Employed,110155,681,German,10063,10.12,60,Other,4/23/2020,3/28/2025,2,3713.796,-1247.796,Current,Not Started,0,,3/30/2025,2466,Employed,1802,0,7,Always Late,North,Phone
64,31,Employed,55461,532,German,10064,13.32,60,Home Improvement,3/4/2021,2/6/2026,149,52930.486,-21159.486,Default,Not Started,0,,7/5/2026,31771,Employed,1949,0,7,Always Late,North,SMS
65,34,Employed,88800,643,German,10065,11.84,48,Debt Consolidation,9/12/2022,8/22/2026,58,28514.16,-9164.16,Delinquent,Not Started,0,,10/19/2026,19350,Employed,1498,0,6,Always Late,South,Phone
66,53,Employed,93222,848,German,10066,7.64,12,Debt Consolidation,5/7/2021,5/2/2022,180,1480.05,-105.05,Default,Not Started,0,,10/29/2022,1375,Employed,540,0,2,Mixed,North,Phone
67,67,Employed,39226,828,German,10067,4.5,36,Education,12/5/2022,11/19/2025,112,38624.05,-4594.05,Default,Not Started,0,,3/11/2026,34030,Employed,1192,0,3,Mixed,West,Phone
68,57,Employed,21721,482,German,10068,5.82,12,Other,3/17/2020,3/12/2021,137,23011.6172,-1265.6172,Default,Recovered,-1114.845936,11/19/2021,7/27/2021,21746,Employed,497,1,1,Always On Time,West,Email
69,21,Employed,71154,340,German,10069,9.77,36,Business,4/9/2021,3/24/2024,119,30886.9866,-7000.9866,Default,Not Started,0,,7/21/2024,23886,Employed,1199,0,2,Always Late,North,SMS
70,19,Unemployed,35609,696,German,10070,5.88,24,Business,8/12/2022,8/1/2024,0,50680.92479999999,-5332.9248,Current,Not Started,0,,8/1/2024,45348,Unemployed,720,0,6,Always Late,West,Phone
71,23,Employed,67130,793,German,10071,9.76,24,Education,4/10/2020,3/31/2022,3,52474.0608,-8570.0608,Current,Not Started,0,,4/3/2022,43904,Employed,723,0,6,Mixed,North,Phone
72,59,Self-Employed,87909,632,German,10072,6.16,60,Debt Consolidation,11/12/2022,10/17/2027,2,44015.508,-10364.508,Current,Not Started,0,,10/19/2027,33651,Self-Employed,1802,0,4,Mixed,South,In-App
73,21,Employed,119211,426,German,10073,13.26,24,Business,12/15/2022,12/4/2024,-2,11175.511600000002,-2342.5116,Current,Not Started,0,,12/2/2024,8833,Employed,718,0,7,Always Late,West,SMS
74,46,Employed,70249,300,German,10074,8.07,60,Debt Consolidation,10/30/2022,10/4/2027,-1,4060.3255,-1167.3255,Current,Not Started,0,,10/3/2027,2893,Employed,1799,0,4,Mixed,West,Phone
75,35,Self-Employed,63895,467,German,10075,6.32,12,Education,10/14/2022,10/9/2023,1,33568.4136,-1995.4136,Current,Not Started,0,,10/10/2023,31573,Self-Employed,361,0,4,Mixed,North,In-App
76,43,Employed,109473,318,German,10076,12.84,24,Debt Consolidation,7/30/2021,7/20/2023,162,40683.8728,-8312.8728,Default,Not Started,0,,12/29/2023,32371,Employed,882,0,3,Mixed,West,In-App
77,61,Employed,20656,631,German,10077,7.44,12,Debt Consolidation,5/8/2020,5/3/2021,168,44989.4256,-3115.4256,Default,Not Started,0,,10/18/2021,41874,Employed,528,0,8,Mixed,East,Email
78,51,Employed,89520,755,German,10078,4.78,12,Debt Consolidation,12/1/2020,11/26/2021,4,13439.0828,-613.0828,Current,Not Started,0,,11/30/2021,12826,Employed,364,0,1,Always Late,South,In-App
79,27,Employed,78740,408,German,10079,10.06,24,Business,6/15/2022,6/4/2024,-2,42546.504,-7126.504,Current,Not Started,0,,6/2/2024,35420,Employed,718,0,8,Always Late,South,Phone
80,53,Unemployed,79309,567,German,10080,10.19,12,Home Improvement,7/13/2022,7/8/2023,151,25259.9556,-2335.9556,Default,Recovered,-1236.06764,2/10/2024,12/6/2023,22924,Unemployed,511,1,7,Mixed,West,Email
81,31,Self-Employed,44984,744,German,10081,11.72,24,Other,10/22/2021,10/12/2023,2,42422.6248,-8055.6248,Current,Not Started,0,,10/14/2023,34367,Self-Employed,722,0,1,Always Late,West,Email
82,48,Unemployed,88822,539,German,10082,6.26,24,Debt Consolidation,11/7/2021,10/28/2023,46,24978.3148,-2779.3148,Delinquent,Not Started,0,,12/13/2023,22199,Unemployed,766,0,4,Mixed,East,Phone
83,65,Employed,20901,600,German,10083,8.6,24,Debt Consolidation,11/19/2022,11/8/2024,2,31489.296,-4621.296,Current,Not Started,0,,11/10/2024,26868,Employed,722,0,7,Mixed,East,SMS
84,32,Self-Employed,46552,402,German,10084,6.75,36,Debt Consolidation,4/2/2022,3/17/2025,-1,11774.88,-1982.88,Current,Not Started,0,,3/16/2025,9792,Self-Employed,1079,0,4,Always Late,West,In-App
85,25,Unemployed,106245,549,German,10085,4.43,12,Home Improvement,3/6/2021,3/1/2022,-5,22553.7471,-956.7471,Current,Not Started,0,,2/24/2022,21597,Unemployed,355,0,8,Always Late,West,Email
86,31,Employed,46055,752,German,10086,13.58,48,Education,7/22/2021,7/1/2025,124,57723.39600000001,-20318.396,Default,Not Started,0,,11/2/2025,37405,Employed,1564,0,8,Always Late,East,SMS
87,40,Employed,52685,819,German,10087,11.88,24,Business,3/4/2022,2/22/2024,-2,41702.1696,-8006.1696,Current,Not Started,0,,2/20/2024,33696,Employed,718,0,3,Mixed,North,Phone
88,57,Self-Employed,88965,452,German,10088,6.97,12,Home Improvement,12/12/2020,12/7/2021,2,47198.3731,-3075.3731,Current,Not Started,0,,12/9/2021,44123,Self-Employed,362,0,3,Always Late,East,In-App
89,38,Employed,29716,473,German,10089,10.39,60,Debt Consolidation,1/22/2022,12/27/2026,-1,25814.7855,-8825.7855,Current,Not Started,0,,12/26/2026,16989,Employed,1799,0,8,Mixed,North,In-App
90,33,Self-Employed,26138,642,German,10090,5.81,24,Home Improvement,1/7/2020,12/27/2021,-5,33408.982200000006,-3477.9822,Current,Not Started,0,,12/22/2021,29931,Self-Employed,715,0,5,Always Late,South,Email
91,62,Employed,50298,730,German,10091,13.74,24,Home Improvement,5/14/2021,5/4/2023,97,13117.692,-2827.692,Default,Recovered,-2825.459868,11/30/2023,8/9/2023,10290,Employed,817,1,1,Always On Time,South,In-App
92,35,Self-Employed,66112,623,German,10092,4.82,48,Home Improvement,4/8/2022,3/18/2026,30,46956.9576,-7589.9576,Current,Not Started,0,,4/17/2026,39367,Self-Employed,1470,0,1,Always Late,East,In-App
93,64,Employed,38429,719,German,10093,3.54,36,Education,12/16/2020,12/1/2023,3,16971.3204,-1629.3204,Current,Not Started,0,,12/4/2023,15342,Employed,1083,0,4,Always Late,North,In-App
94,41,Employed,65200,784,German,10094,9.27,36,Other,7/27/2021,7/11/2024,-3,33155.1921,-7214.1921,Current,Not Started,0,,7/8/2024,25941,Employed,1077,0,8,Mixed,East,In-App
95,43,Employed,86308,711,German,10095,10.21,24,Business,8/20/2022,8/9/2024,-3,17996.769,-3051.769,Current,Not Started,0,,8/6/2024,14945,Employed,717,0,7,Always Late,East,Phone
96,42,Self-Employed,63244,383,German,10096,10.16,12,Education,6/21/2022,6/16/2023,44,12957.0192,-1195.0192,Delinquent,Not Started,0,,7/30/2023,11762,Self-Employed,404,0,5,Always Late,North,SMS
97,62,Employed,116268,412,German,10097,4.13,60,Education,8/27/2021,8/1/2026,60,37561.9645,-6428.9645,Delinquent,Not Started,0,,9/30/2026,31133,Employed,1860,0,1,Mixed,East,Phone
98,58,Employed,32347,631,German,10098,7.11,60,Other,8/26/2021,7/31/2026,0,65172.44,-17092.44,Current,Not Started,0,,7/31/2026,48080,Employed,1800,0,2,Mixed,South,Phone
99,46,Employed,31920,677,German,10099,9.24,12,Education,8/22/2020,8/17/2021,45,44952.26,-3802.26,Delinquent,Not Started,0,,10/1/2021,41150,Employed,405,0,7,Mixed,West,Email
100,32,Self-Employed,46822,340,German,10100,5.99,24,Home Improvement,9/3/2022,8/23/2024,4,31412.6296,-3360.6296,Current,Not Started,0,,8/27/2024,28052,Self-Employed,724,0,2,Always Late,West,In-App
101,62,Employed,61659,404,German,10101,13.54,60,Home Improvement,8/10/2022,7/15/2027,149,71691.75,-28941.75,Default,Recovered,-25358.79686,2/26/2028,12/11/2027,42750,Employed,1949,1,2,Always On Time,East,Phone
102,18,Self-Employed,55108,501,German,10102,4.5,36,Debt Consolidation,3/5/2020,2/18/2023,96,23781.655,-2828.655,Default,Recovered,-2636.169718,10/19/2023,5/25/2023,20953,Self-Employed,1176,1,1,Mixed,North,In-App
103,42,Employed,104099,749,German,10103,9.1,12,Education,12/23/2021,12/18/2022,58,45249.225,-3774.225,Delinquent,Not Started,0,,2/14/2023,41475,Employed,418,0,5,Mixed,North,Phone
104,24,Employed,22967,565,German,10104,11.45,48,Debt Consolidation,3/11/2021,2/18/2025,46,26433.54,-8303.54,Delinquent,Not Started,0,,4/5/2025,18130,Employed,1486,0,8,Always Late,South,Phone
105,26,Employed,26871,509,German,10105,6.51,24,Business,1/19/2021,1/9/2023,-1,36263.5972,-4177.5972,Current,Not Started,0,,1/8/2023,32086,Employed,719,0,2,Always Late,North,Email
106,41,Employed,109299,417,Other,10106,10.68,12,Home Improvement,10/25/2021,10/20/2022,89,6234.6044,-601.6044,Delinquent,Not Started,0,,1/17/2023,5633,Employed,449,0,4,Always Late,North,SMS
107,18,Self-Employed,92452,676,German,10107,13.04,60,Business,3/20/2022,2/22/2027,0,30238.208,-11934.208,Current,Not Started,0,,2/22/2027,18304,Self-Employed,1800,0,5,Always Late,South,SMS
108,61,Employed,89270,839,German,10108,5.69,24,Other,4/20/2022,4/9/2024,2,47934.61059999999,-4897.6106,Current,Not Started,0,,4/11/2024,43037,Employed,722,0,9,Always Late,East,Phone
109,25,Employed,48613,383,German,10109,14.05,36,Home Improvement,7/11/2020,6/26/2023,-5,47313.206,-14029.206,Current,Not Started,0,,6/21/2023,33284,Employed,1075,0,1,Mixed,West,Email
110,41,Self-Employed,43179,753,German,10110,9.87,24,Business,8/22/2020,8/12/2022,50,56931.5804,-9385.5804,Delinquent,Not Started,0,,10/1/2022,47546,Self-Employed,770,0,4,Mixed,South,In-App
111,28,Employed,67188,813,German,10111,6.94,24,Other,9/15/2022,9/4/2024,-3,9119.5104,-1111.5104,Current,Not Started,0,,9/1/2024,8008,Employed,717,0,3,Mixed,East,In-App
112,68,Employed,70099,686,Other,10112,8.45,36,Business,8/21/2022,8/5/2025,-4,61786.26849999999,-12495.2685,Current,Not Started,0,,8/1/2025,49291,Employed,1076,0,7,Always Late,South,Phone
113,34,Unemployed,50262,649,German,10113,7.09,36,Other,9/15/2020,8/31/2023,2,34446.7435,-6041.7435,Current,Not Started,0,,9/2/2023,28405,Unemployed,1082,0,4,Mixed,East,SMS
114,25,Employed,93213,595,German,10114,11.84,24,Other,10/8/2020,9/28/2022,1,46239.0048,-8853.0048,Current,Not Started,0,,9/29/2022,37386,Employed,721,0,1,Mixed,South,Email
115,52,Employed,33268,557,German,10115,12.66,36,Home Improvement,7/1/2022,6/15/2025,4,36389.4654,-10016.4654,Current,Not Started,0,,6/19/2025,26373,Employed,1084,0,5,Always Late,East,SMS
116,52,Unemployed,92866,380,German,10116,13.08,12,Debt Consolidation,9/11/2021,9/6/2022,68,24681.9716,-2854.9716,Delinquent,Not Started,0,,11/13/2022,21827,Unemployed,428,0,6,Always Late,South,In-App
117,50,Employed,101269,567,German,10117,14.84,36,Other,5/27/2020,5/12/2023,34,49194.608,-15154.608,Delinquent,Not Started,0,,6/15/2023,34040,Employed,1114,0,1,Mixed,East,SMS
118,22,Employed,75545,718,German,10118,12.6,36,Other,3/19/2021,3/3/2024,3,19301.646,-5294.646,Current,Not Started,0,,3/6/2024,14007,Employed,1083,0,7,Mixed,South,In-App
119,59,Employed,118483,534,Other,10119,10.42,24,Home Improvement,9/8/2020,8/29/2022,111,23149.3188,-3992.3188,Default,Not Started,0,,12/18/2022,19157,Employed,831,0,2,Mixed,West,Email
120,56,Self-Employed,107822,610,German,10120,7.4,12,Debt Consolidation,4/20/2022,4/15/2023,47,35610.618,-2453.618,Delinquent,Not Started,0,,6/1/2023,33157,Self-Employed,407,0,4,Always Late,West,Email
121,58,Employed,87146,656,German,10121,9.76,48,Education,7/2/2021,6/11/2025,-3,50492.376,-14177.376,Current,Not Started,0,,6/8/2025,36315,Employed,1437,0,3,Always Late,North,Phone
122,45,Employed,86966,512,German,10122,3.97,48,Education,8/6/2022,7/16/2026,49,42796.8016,-5864.8016,Delinquent,Not Started,0,,9/3/2026,36932,Employed,1489,0,6,Mixed,East,Phone
123,24,Self-Employed,54922,348,German,10123,12.07,60,Debt Consolidation,2/19/2020,1/23/2025,105,35539.974,-13375.974,Default,Recovered,-11043.18883,7/24/2025,5/8/2025,22164,Self-Employed,1905,1,3,Always On Time,South,SMS
124,26,Self-Employed,94364,426,German,10124,8.63,36,Business,8/29/2021,8/13/2024,-1,19404.6846,-3990.6846,Current,Not Started,0,,8/12/2024,15414,Self-Employed,1079,0,7,Mixed,East,Email
125,25,Employed,57913,522,German,10125,3.73,36,Home Improvement,7/14/2020,6/29/2023,-3,17042.0913,-1715.0913,Current,Not Started,0,,6/26/2023,15327,Employed,1077,0,6,Mixed,West,Email
126,29,Employed,112033,578,German,10126,4.22,12,Debt Consolidation,9/28/2022,9/23/2023,166,51426.3168,-2082.3168,Default,Recovered,-1932.686854,7/26/2024,3/7/2024,49344,Employed,526,1,5,Always On Time,East,Phone
127,51,Employed,119792,707,German,10127,7.96,48,Education,6/10/2022,5/20/2026,1,2565.6064,-619.6064,Current,Not Started,0,,5/21/2026,1946,Employed,1441,0,6,Mixed,South,In-App
128,50,Self-Employed,70677,804,German,10128,10.21,60,Other,11/28/2022,11/2/2027,-1,23704.2765,-8011.2765,Current,Not Started,0,,11/1/2027,15693,Self-Employed,1799,0,6,Always Late,East,SMS
129,65,Employed,117154,593,German,10129,8.84,12,Education,5/22/2020,5/17/2021,-1,30737.5044,-2496.5044,Current,Not Started,0,,5/16/2021,28241,Employed,359,0,1,Always Late,South,SMS
130,40,Employed,64841,576,German,10130,10.62,36,Other,1/3/2021,12/19/2023,0,41211.5244,-9957.5244,Current,Not Started,0,,12/19/2023,31254,Employed,1080,0,3,Always Late,West,Phone
131,41,Self-Employed,61332,737,German,10131,9.02,48,Home Improvement,3/22/2020,3/1/2024,161,22507.632,-5967.632,Default,Not Started,0,,8/9/2024,16540,Self-Employed,1601,0,8,Always Late,West,Email
